gse	gpl
GSE10474	GPL571
GSE13015-GPL6106	GPL6106
GSE13015-GPL6947	GPL6947
GSE13904	GPL570
GSE15221	GPL6102
GSE16836	GPL570
GSE26378	GPL570
GSE26440	GPL570
GSE28750	GPL570
GSE3026	GPL8300
GSE3140	GPL201
GSE32707	GPL10558
GSE3284-GPL570	GPL570
GSE3284-GPL96	GPL96
GSE3284-GPL97	GPL97
GSE33341-GPL571	GPL571
GSE35590	GPL5175
GSE4607	GPL570
GSE5663-GPL80	GPL80
GSE5772	GPL4274
GSE6269-GPL2507	GPL2507
GSE6269-GPL570	GPL570
GSE6269-GPL96	GPL96
GSE6377	GPL201
GSE6535	GPL4274
GSE8121	GPL570
GSE9692	GPL570
GSE9960	GPL570

